"","sciname_with_author","family","state_rank","global_rank","federal_listing","ssp_var","genus","species","sciname_only","intraspecific_qualifier","intraspecies"
"97","Draba aleutica Ekman","Brassicaceae","S2","G2",NA,FALSE,"Draba","aleutica","Draba aleutica","NULL","NULL"
"98","Draba chamissonis G. Don","Brassicaceae","S1Q","GNR",NA,FALSE,"Draba","chamissonis","Draba chamissonis","NULL","NULL"
"99","Draba densifolia Nuttall","Brassicaceae","S2S3","G5","BLM Watch",FALSE,"Draba","densifolia","Draba densifolia","NULL","NULL"
"100","Draba incerta Payson","Brassicaceae","S3","G5",NA,FALSE,"Draba","incerta","Draba incerta","NULL","NULL"
"101","Draba macounii O.E. Schulz","Brassicaceae","S3","G3G4","BLM Watch",FALSE,"Draba","macounii","Draba macounii","NULL","NULL"
"102","Draba micropetala Hook.","Brassicaceae","S1S2","GNR","BLM Sensitive",FALSE,"Draba","micropetala","Draba micropetala","NULL","NULL"
"103","Draba mulliganii Al-Shehbaz","Brassicaceae","S3","GNR","BLM Watch",FALSE,"Draba","mulliganii","Draba mulliganii","NULL","NULL"
"104","Draba murrayi G.A. Mulligan","Brassicaceae","S2S3","G2","BLM Sensitive",FALSE,"Draba","murrayi","Draba murrayi","NULL","NULL"
"105","Draba ogilviensis Hulten","Brassicaceae","S1","G3","BLM Sensitive",FALSE,"Draba","ogilviensis","Draba ogilviensis","NULL","NULL"
"106","Draba oligosperma Hook.","Brassicaceae","S1","G5",NA,FALSE,"Draba","oligosperma","Draba oligosperma","NULL","NULL"
"107","Draba pauciflora R. Brown","Brassicaceae","S2","G4","BLM Sensitive",FALSE,"Draba","pauciflora","Draba pauciflora","NULL","NULL"
"108","Draba praealta Greene","Brassicaceae","S1","G5",NA,FALSE,"Draba","praealta","Draba praealta","NULL","NULL"
"109","Draba subcapitata Simmons","Brassicaceae","S1S2","G4",NA,FALSE,"Draba","subcapitata","Draba subcapitata","NULL","NULL"
"110","Eleocharis nitida Fernald","Cyperaceae","S1S2","G3G4",NA,FALSE,"Eleocharis","nitida","Eleocharis nitida","NULL","NULL"
"111","Eleocharis quinqueflora (Hartmann) O. Schwartz","Cyperaceae","S2","G5",NA,FALSE,"Eleocharis","quinqueflora","Eleocharis quinqueflora","NULL","NULL"
"112","Elymus lanceolatus ssp. psammophilus (J. M. Gillett & H. Senn) A. Love","Poaceae","S1S2","G3G4",NA,TRUE,"Elymus","lanceolatus","Elymus lanceolatus ssp. psammophilus","ssp.","psammophilus"
"113","Erigeron acris ssp. kamtschaticus (DC.) H. Hara","Asteraceae","SP","G5T4T5",NA,TRUE,"Erigeron","acris","Erigeron acris ssp. kamtschaticus","ssp.","kamtschaticus"
"114","Erigeron glacialis var. glacialis (Nuttall) A. Nelson","Asteraceae","SU","GNR",NA,TRUE,"Erigeron","glacialis","Erigeron glacialis var. glacialis","var.","glacialis"
"115","Erigeron muirii A. Gray","Asteraceae","S2S3","G2G3","BLM Sensitive",FALSE,"Erigeron","muirii","Erigeron muirii","NULL","NULL"
"116","Erigeron ochroleucus Nutt.","Asteraceae","S1S2","G5",NA,FALSE,"Erigeron","ochroleucus","Erigeron ochroleucus","NULL","NULL"
"117","Erigeron porsildii G.L. Nesom & D.F.Murray","Asteraceae","S3S4","G3G4","BLM Watch",FALSE,"Erigeron","porsildii","Erigeron porsildii","NULL","NULL"
"118","Erigeron yukonensis Rydberg","Asteraceae","SU","G2G4",NA,FALSE,"Erigeron","yukonensis","Erigeron yukonensis","NULL","NULL"
"119","Eriogonum flavum var. aquilinum Reveal","Polygonaceae","S2","G5T2","BLM Watch",TRUE,"Eriogonum","flavum","Eriogonum flavum var. aquilinum","var.","aquilinum"
"120","Eriophorum viridicarinatum (Engelm.) Fernald","Cyperaceae","S3","G5",NA,FALSE,"Eriophorum","viridicarinatum","Eriophorum viridicarinatum","NULL","NULL"
"121","Eritrichium villosum (Ledeb.) Bunge","Boraginaceae","S1","GNR",NA,FALSE,"Eritrichium","villosum","Eritrichium villosum","NULL","NULL"
"122","Erysimum angustatum Rydb.","Brassicaceae","S2","G5T2","BLM Watch",FALSE,"Erysimum","angustatum","Erysimum angustatum","NULL","NULL"
"123","Festuca edlundiae S. Aiken, Consaul, & Lefkovich","Poaceae","S1","G3G4",NA,FALSE,"Festuca","edlundiae","Festuca edlundiae","NULL","NULL"
"124","Festuca minutiflora Rydberg","Poaceae","S1","G5",NA,FALSE,"Festuca","minutiflora","Festuca minutiflora","NULL","NULL"
"125","Festuca occidentalis Hook.","Poaceae","S1","G5",NA,FALSE,"Festuca","occidentalis","Festuca occidentalis","NULL","NULL"
"126","Festuca viviparoidea Krajina ex Pavlick","Poaceae","SU","G4G5",NA,FALSE,"Festuca","viviparoidea","Festuca viviparoidea","NULL","NULL"
"127","Festuca viviparoidea ssp. krajinae Pavlick","Poaceae","SU","G4G5",NA,TRUE,"Festuca","viviparoidea","Festuca viviparoidea ssp. krajinae","ssp.","krajinae"
"128","Festuca viviparoidea ssp. viviparoidea Krajina ex Pavlick","Poaceae","SU","G4G5",NA,TRUE,"Festuca","viviparoidea","Festuca viviparoidea ssp. viviparoidea","ssp.","viviparoidea"
"129","Gaultheria pyroloides Hook. & Thomson ex Miquel","Ericaceae","S1","G3G4",NA,FALSE,"Gaultheria","pyroloides","Gaultheria pyroloides","NULL","NULL"
"130","Gentianella auriculata (Pall.) J.M. Gillett","Gentianaceae","S1","G4G5",NA,FALSE,"Gentianella","auriculata","Gentianella auriculata","NULL","NULL"
"131","Gentianella propinqua ssp. aleutica (Cham. & Schltdl.) J.M. Gillett","Gentianaceae","S3","G5T2T4","BLM Watch",TRUE,"Gentianella","propinqua","Gentianella propinqua ssp. aleutica","ssp.","aleutica"
"132","Gentianopsis barbata ssp. barbata (Froel) Ma","Gentianaceae","S3Q","GNR","BLM Watch",TRUE,"Gentianopsis","barbata","Gentianopsis barbata ssp. barbata","ssp.","barbata"
"133","Gentianopsis richardsonii (A.E. Porlsild)","Gentianaceae","S1S2","GNR","BLM Sensitive",FALSE,"Gentianopsis","richardsonii","Gentianopsis richardsonii","NULL","NULL"
"134","Glehnia littoralis ssp. leiocarpa (Mathias) Hulten","Apiaceae","S2S3","G5T5",NA,TRUE,"Glehnia","littoralis","Glehnia littoralis ssp. leiocarpa","ssp.","leiocarpa"
"135","Glyceria leptostachya Buckley","Poaceae","S3","G3",NA,FALSE,"Glyceria","leptostachya","Glyceria leptostachya","NULL","NULL"
"136","Glyceria pulchella (Nash) K. Schum.","Poaceae","S3S4","G5",NA,FALSE,"Glyceria","pulchella","Glyceria pulchella","NULL","NULL"
"137","Hypericum anagalloides Cham. & Schltdl.","Hypericaceae","S1","G4",NA,FALSE,"Hypericum","anagalloides","Hypericum anagalloides","NULL","NULL"
"138","Isoetes occidentalis L.F. Hend.","Isoetaceae","S3S4","G4G5",NA,FALSE,"Isoetes","occidentalis","Isoetes occidentalis","NULL","NULL"
"139","Isolepis cernua var. cernua (Vahl) Roem. & Schult.","Cyperaceae","S1","G5",NA,TRUE,"Isolepis","cernua","Isolepis cernua var. cernua","var.","cernua"
"140","Juncus articulatus L.","Juncaceae","S1S2","G5","BLM Sensitive",FALSE,"Juncus","articulatus","Juncus articulatus","NULL","NULL"
"141","Juncus covillei var. obtusatus C.L. Hitchcock","Juncaceae","S1","G5",NA,TRUE,"Juncus","covillei","Juncus covillei var. obtusatus","var.","obtusatus"
"142","Juncus nodosus L.","Juncaceae","S1S2","G5",NA,FALSE,"Juncus","nodosus","Juncus nodosus","NULL","NULL"
"143","Juncus tenuis Willd.","Juncaceae","S2","G5","BLM Watch",FALSE,"Juncus","tenuis","Juncus tenuis","NULL","NULL"
"144","Juniperus horizontalis Moench.","Cupressaceae","S3","G5",NA,FALSE,"Juniperus","horizontalis","Juniperus horizontalis","NULL","NULL"
"145","Koeleria asiatica Domin","Poaceae","S3","G4","BLM Watch",FALSE,"Koeleria","asiatica","Koeleria asiatica","NULL","NULL"
"146","Koeleria macrantha (Ledeb.) Schult.","Poaceae","S1","G5",NA,FALSE,"Koeleria","macrantha","Koeleria macrantha","NULL","NULL"
"147","Lactuca biennis (Moench) Fernald","Asteraceae","S2S3","G5",NA,FALSE,"Lactuca","biennis","Lactuca biennis","NULL","NULL"
"148","Lathyrus ochroleucus Hook.","Fabaceae","SH","G5",NA,FALSE,"Lathyrus","ochroleucus","Lathyrus ochroleucus","NULL","NULL"
"149","Ligusticum calderi Mathias & Constance","Apiaceae","S2","G3G4","USFS",FALSE,"Ligusticum","calderi","Ligusticum calderi","NULL","NULL"
"150","Limosella aquatica L.","Plantaginaceae","S3","G5",NA,FALSE,"Limosella","aquatica","Limosella aquatica","NULL","NULL"
"151","Lobelia dortmanna L.","Campanulaceae","S1S2","G4G5",NA,FALSE,"Lobelia","dortmanna","Lobelia dortmanna","NULL","NULL"
"152","Lonicera involucrata (Richardson) Banks","Caprifoliaceae","S3","G4G5",NA,FALSE,"Lonicera","involucrata","Lonicera involucrata","NULL","NULL"
"153","Lupinus kuschei Eastw.","Fabaceae","S2","G3G4",NA,FALSE,"Lupinus","kuschei","Lupinus kuschei","NULL","NULL"
"154","Luzula comosa E. Meyer","Juncaceae","S1","G4G5",NA,FALSE,"Luzula","comosa","Luzula comosa","NULL","NULL"
"155","Lycopodiella inundata (L.) Holub","Lycopodiaceae","S3","G5",NA,FALSE,"Lycopodiella","inundata","Lycopodiella inundata","NULL","NULL"
"156","Lycopus asper Greene","Lamiaceae","S1","G5",NA,FALSE,"Lycopus","asper","Lycopus asper","NULL","NULL"
"157","Lycopus uniflorus Michx.","Lamiaceae","S3S4","G5",NA,FALSE,"Lycopus","uniflorus","Lycopus uniflorus","NULL","NULL"
"158","Maianthemum racemosum ssp. amplexicaule (Nutt.) LaFrankie","Asparagaceae","S1","G5",NA,TRUE,"Maianthemum","racemosum","Maianthemum racemosum ssp. amplexicaule","ssp.","amplexicaule"
"159","Maianthemum stellatum (L.) Link","Asparagaceae","S3","G5",NA,FALSE,"Maianthemum","stellatum","Maianthemum stellatum","NULL","NULL"
"160","Malaxis monophyllos ssp. brachypoda (A. Gray) F. Morris & E. A. Eames","Orchidaceae","SU","GNRTNR",NA,TRUE,"Malaxis","monophyllos","Malaxis monophyllos ssp. brachypoda","ssp.","brachypoda"
"161","Malaxis monophyllos ssp. monophyllos (L.) Swartz","Orchidaceae","SU","GNRTNR",NA,TRUE,"Malaxis","monophyllos","Malaxis monophyllos ssp. monophyllos","ssp.","monophyllos"
"162","Melica subulata (Griseb.) Scribn.","Poaceae","S3","G5",NA,FALSE,"Melica","subulata","Melica subulata","NULL","NULL"
